term,definition,ipa,synonyms,antonyms
quench,""" v. satisfy (a desire). """"he only pursued her to quench an aching need""""    v. extinguish (a fire). """"firemen hauled on hoses in a desperate bid to quench the flames"""" """"the flames were quenched""""""",kwen(t)SH,"satisfy, slake, sate, satiate, gratify, relieve, assuage, take the edge off, indulge, extinguish, put out, snuff out, smother, douse",
quiescent,""" adj. in a state or period of inactivity or dormancy. """"strikes were headed by groups of workers who had previously been quiescent"""" """,kwēˈesnt,"inactive, inert, idle, dormant, at rest, inoperative, deactivated, quiet antonyms: active",active
fiducial,adj. based on trust; used as a fixed standard of reference for comparison or measurement,fəˈdo͞oSH(ē)əl,,
ancillary,""" adj. providing necessary support to the primary activities or operation of an organization, institution, industry, or system. """"the development of ancillary services to support its products""""   adj. additional; subsidiary. """"paragraph 19 was merely ancillary to paragraph 16"""" """,ˈansəˌlerē,"additional, auxiliary, supporting, helping, extra, supplementary, supplemental, accessory, attendant",
resilient,""" adj. (of a person or animal) able to withstand or recover quickly from difficult conditions. """"babies are generally far more resilient than new parents realize""""    adj. (of a substance or object) able to recoil or spring back into shape after bending, stretching, or being compressed. """"a shoe with resilient cushioning"""" """,rəˈzilyənt,"strong, tough, hardy, flexible, pliable, supple",
hypnotize,""" v. produce a state of hypnosis in (someone). """"a witness had been hypnotized to enhance his memory"""" """"he had been hypnotized as a stunt""""   v. capture the whole attention of (someone); fascinate. """"hypnotized by the rain, Eric stared across the street"""" """"they were hypnotized by the dancers""""""",ˈhipnəˌtīz,"mesmerize, put into a trance, entrance, mesmerize, spellbind, enthrall, transfix, captivate, bewitch, charm, enrapture, grip, rivet, absorb, fascinate, magnetize",
lethargic,""" adj. affected by lethargy; sluggish and apathetic. """"I felt tired and a little lethargic"""" """,ləˈTHärjik,"sluggish, inert, inactive, underactive, slow, torpid, lifeless",
apt,""" adj. appropriate or suitable in the circumstances. """"an apt description of her nature"""" """"a very apt description of how I felt""""    adj. having a tendency to do something. """"she was apt to confuse the past with the present"""" """"they're apt to get a bit sloppy"""" """,apt,"suitable, fitting, appropriate, befitting, relevant, germane, applicable, apposite, inclined, given, likely, liable, disposed, predisposed, prone","inappropriate, unlikely"
tautology,""" n. the saying of the same thing twice in different words, generally considered to be a fault of style (e.g., they arrived one after the other in succession). """"avoid such tautology as """"let's all work together, everyone, as a team"""" by saying simply """"let's work together""""""""""",tôˈtäləjē,"pleonasm, repetition, reiteration, redundancy, superfluity, duplication",
concur,"""  v. be of the same opinion; agree. """"the authors concurred with the majority"""" """"The rules of the game require you to accept the umpire's decision, even if you do not concur with it.""""   v. happen or occur at the same time; coincide. """"in tests, cytogenetic determination has been found to concur with enzymatic determination"""" """"the two events concurred""""""",kənˈkər,"agree, be in agreement, go along, fall in, be in sympathy antonyms: disagree, coincide, be simultaneous, be concurrent, coexist",disagree
digress,""" v. leave the main subject temporarily in speech or writing. """"I have digressed a little from my original plan"""" """"At one point, the speaker digressed to tell of an incident in her childhood, but then she got right back to the topic.""""""",dīˈɡres,"deviate, go off on a tangent, get off the subject, get sidetracked, lose the thread, turn aside/away, depart, drift, stray, wander",
galore,""" adj. in abundance. """"there were prizes galore for everything"""" """,ɡəˈlôr,"aplenty, in abundance, in profusion, in great quantities, in large numbers, by the dozen",
hostile,"""adj. unfriendly; antagonistic. """"a hostile audience"""" """,,"unfriendly, unkind, bitter, unsympathetic, malicious, vicious, rancorous, venomous, poisonous, virulent antonyms: friendly, mild","friendly, mild"
inter,""" v. put into the earth; entomb  """"he was interred with the military honors due to him""""""",ɪnˈtəː,,
novice,""" n. a person new to or inexperienced in a field or situation. """"he was a complete novice in foreign affairs"""" """,ˈnävəs,"beginner, learner, neophyte, newcomer, initiate, tyro, fledgling antonyms: expert, veteran","expert, veteran"
suffice,""" v. be enough, adequate; serve  """"a quick look should suffice"""" """"a simple yes or no will suffice""""""",səˈfīs,"be enough, be sufficient, be adequate, do, serve, meet requirements, satisfy demands, answerserve the purpose",
mingle,""" v. mix or cause to mix together. """"the sound of voices mingled with a scraping of chairs"""" """"fact and fiction are skillfully mingled in his novels"""" """,ˈmiNGɡəl,"mix, blend, intermingle, intermix, interweave, interlace, combine, merge, fuse, unite, join, amalgamate, meld, mesh","separate, be separated"
pounce,""" v. move down on as if in an attack """"The bird quickly pounced its prey.""""""",pouns,,
flutter,""" v. (of a bird or other winged creature) flap (its wings) quickly and lightly. """"the lark fluttered its wings, hovering"""" """,ˈflədər,"flap, move up and down, beat, quiver, agitate, vibrate, whiffle",
astonish,""" v. surprise or impress (someone) greatly. """"you never fail to astonish me"""" """,əˈstäniSH,"amaze, astound, stagger, surprise, startle, stun, confound, dumbfound, strike dumb, boggle, stupefy, daze, shock, take aback, leave open-mouthed, leave aghast",
daub,""" v. coat, cover, plaster, slather """"Jeffrey decorated his room by daubing red paint in patches all over his walls.""""  """"he daubed a rock with paint""""""",dôb,"smear, bedaub, plaster, splash, spatter, splatter, cake, cover, smother, coat",
feat,""" n. achievement, exploit """"The Taj Mahal is considered a remarkable feat of engineering.""""  """"the new printing presses were considerable feats of engineering"""" """,fēt,"achievement, accomplishment, attainment, coup, triumph",
intrigue,""" v. arouse the curiosity or interest of; fascinate. """"I was intrigued by your question"""" """"Young albert was intrigued by the mysteries of science.""""     v. make secret plans to do something illicit or detrimental to someone; plot, conspire """"the delegates were intriguing for their own gains"""" """"The police didn't believe Jim intrigued with the enemy against the government.""""""",inˈtrēɡ,"interest, be of interest to, fascinate, arouse someone's curiosity, arouse someone's interest, pique someone's curiosity, pique someone's interest, attract",
luxuriant,""" adj. rich and profuse in growth; lush. """"forests of dark, luxuriant foliage""""    """"Tracts of luxuriant plant life and colonies of teeming insects cover the Amazon river basin.""""""",ˌləkˈSHo͝orēənt,"lush, rich, abundant, profuse, exuberant, opulent, riotous, prolific, vigorous antonyms: barren, sparse","barren, sparse"
render,""" v. provide or give (a service, help, etc.). """"money serves as a reward for services rendered""""    v. cause to be or become; make. """"the rains rendered his escape impossible"""" """"her fury rendered her speechless""""   v. represent or depict artistically. """"the eyes and the cheeks are exceptionally well rendered"""" """,ˈrendər,"give, provide, supply, furnish, contribute, make, cause to be/become, leave, paint, draw, depict, portray, represent, execute",
renowned,""" adj. known or talked about by many people; famous. """"a restaurant renowned for its Southwestern-style food"""" """"a renowned Indian filmmaker"""" """,rəˈnound,"famous, celebrated, famed, eminent, distinguished, acclaimed, illustrious, preeminent, prominent, great, esteemed, of note, of repute, well known, well-thought-of",unknown
rugged,""" adj. (of ground or terrain) having a broken, rocky, and uneven surface. """"a rugged coastline"""" """"the rugged coast path meanders among tall cliffs""""   adj. (of a machine or other manufactured object) strongly made and capable of withstanding rough handling. """"the binoculars are compact, lightweight, and rugged"""" """"the sort of conditions which could tear a wheel off a less rugged vehicle""""   adj. having or requiring toughness and determination. """"a week of rugged, demanding adventure at an outdoor training center"""" """"a rugged outdoor life""""""",ˈrəɡəd,"rough, uneven, bumpy, rocky, stony, irregular, pitted, broken up, jagged, craggy, precipitous, durable, robust, sturdy, strong, strongly made, hardwearing, built to last, tough, resilient, austere, tough, harsh, spartan, exacting, taxing, demanding, difficult, hard, arduous, rigorous, strenuous, onerous",
speculative,""" adj. engaged in, expressing, or based on conjecture rather than knowledge. """"discussion of the question is largely speculative"""" """,ˈspekyəˌlādiv,"conjectural, suppositional, theoretical, hypothetical, putative, academic, notional, abstract",
subordinate,""" adj. lower in rank or position. """"his subordinate officers"""" """"subordinate staff""""     v. of less or secondary importance. """"in adventure stories, character must be subordinate to action"""" """,səˈbôrd(ə)nət,"lower-ranking, junior, lower, supporting, secondary, lesser, minor, subsidiary, subservient, ancillary, auxiliary, peripheral, marginal antonyms: central","senior, central"
torrential,""" adj. (of rain) falling rapidly and in copious quantities. """"a torrential downpour""""  """"he would never forget the misery associated with those torrential rains"""" """"The village was flooded after eight hours of torrential rains.""""""",təˈren(t)SHəl,"copious, heavy, teeming, pelting, severe, relentless, violent",
assume,""" v. suppose to be the case, without proof. """"you're afraid of what people are going to assume about me"""" """"I assumed he wanted me to keep the book""""  v. take or begin to have (power or responsibility). """"he assumed full responsibility for all organizational work"""" """"they are to assume more responsibility""""   v. take on (a specified quality, appearance, or extent). """"militant activity had assumed epidemic proportions"""" """"the disease may assume epidemic proportions""""""",əˈso͞om,"presume, suppose, take it (as given), take for granted, take as read, conjecture, surmise, conclude, deduce, infer, reckon, reason, think, fancy, believe, understand, gather, figure, accept, shoulder, bear, undertake, take on/up, manage, handle, deal with, acquire, take on, come to have",
attain,""" v. succeed in achieving (something that one desires and has worked for). """"clarify your objectives and ways of attaining them"""" """,əˈtān,"achieve, accomplish, reach, obtain, gain, procure, secure, get, hook, net, win, earn, acquire",
cede,""" v. give up (power or territory). """"they have had to cede control of the schools to the government"""" """,sēd,"surrender, concede, relinquish, yield, part with, give up",
glossy,"""adj. shiny and smooth. """"thick, glossy, manageable hair"""" """,,"shiny, gleaming, lustrous, brilliant, shimmering, glistening, satiny, sheeny, smooth, glassy antonyms: dull, lusterless","dull, lusterless"
hallmark,""" n. a mark stamped on articles of gold, silver, or platinum in Britain, certifying their standard of purity. """"the hallmark on silver""""""",ˈhôlˌmärk,"assay mark, official mark, stamp of authenticity",
linger,""" v. stay in a place longer than necessary, typically because of a reluctance to leave. """"she lingered in the yard, enjoying the warm sunshine""""    “Her perfume lingered on”""",ˈliNGɡər,"wait around, stay, remain, wait, stay put, tarry; lag, procrastinate, loiter antonyms: leave",leave
loathe,""" v. feel intense dislike or disgust for. """"she loathed him on sight"""" """"The reclusive celebrity loathes interviews and being photographed.""""""",rəˈpəɡnəns,"hate, detest, abhor, execrate, have a strong aversion to, feel repugnance toward, not be able to bear/stand, be repelled by antonyms: love",love
observe,""" v. fulfill or comply with (a social, legal, ethical, or religious obligation). """"a tribunal must observe the principles of natural justice"""" """"both countries agreed to observe the ceasefire"""" """"The Fosters observe the tradition of a family get-together every last Saturday of the month.""""""",əbˈzərv,"comply with, abide by, keep, obey, adhere to, heed, honor, be heedful of, respect, follow, consent to, acquiesce in, accept, fulfill","disregard, ignore"
engrossed,""" adj. having all one's attention or interest absorbed by someone or something. """"they seemed to be engrossed in conversation""""""",inˈɡrōst,,
ingrained,""" adj. (of a habit, belief, or attitude) firmly fixed or established; difficult to change. """"his deeply ingrained Catholic convictions"""" """,inˈɡrānd,"entrenched, established, deep-rooted, deep-seated, fixed, firm, unshakable, ineradicable, well established antonyms: transient",transient
utterly,""" adv. completely and without qualification; absolutely. """"he looked utterly ridiculous"""" """,ˈədərlē,"completely, totally, absolutely, entirely, wholly, fully, thoroughly, quite, altogether, one hundred percent, downright, outright, unqualifiedly, in all respects, unconditionally, perfectly, implicitly, unrestrictedly, really, veritably, categorically, consummately, undisputedly, unmitigatedly, wholeheartedly, radically, stark, just, to the hilt, to the core, all the way, to the maximum extent, extremely, infinitely, unlimitedly, limitlessly, ultimately",
afford,""" v. provide or supply (an opportunity or facility). """"the rooftop terrace affords beautiful views"""" """,əˈfôrd,"provide, supply, furnish, offer, give, make available, yield",
irreparable,"""/i(r)ˈrep(ə)rəb(ə)l adj. (of an injury or loss) impossible to rectify or repair. """"they were doing irreparable damage to my heart and lungs"""" """"irreparable damage to the landing module"""" """"The soldier survived but suffered irreparable facial damage.""""""",,"irreversible, irrevocable, irrecoverable, unrepairable, beyond repair, unfixable, unrectifiable; hopeless",repairable
outstanding,""" adj. remaining to be paid, done, or dealt with. """"how much work is still outstanding?"""" """,ˌoutˈstandiNG,"to be done, undone, not done, neglected, omitted, unattended to, unfinished, incomplete, left, remaining, pending, ongoing",
proposition,""" n. a statement or assertion that expresses a judgment or opinion. """"the proposition that all men are created equal"""" """"the analysis derives from one proposition""""   n. a suggested scheme or plan of action, especially in a business context. """"a detailed investment proposition"""" """"a business proposition""""""",ˌpräpəˈziSH(ə)n,"theory, hypothesis, thesis, argument, premise, principle, theorem, concept, idea, statement, proposal, scheme, plan, project, idea, program, bid",
solitary,""" adj. done or existing alone. """"I live a pretty solitary life"""" """,ˈsäləˌterē,"lonely, companionless, unaccompanied, by oneself, on one's own, alone, friendless antonyms: sociable",sociable
vagary,""" n. an unexpected and inexplicable change in a situation or in someone's behavior. """"the vagaries of the weather"""" """,ˈvāɡərē,"change, fluctuation, variation, quirk, peculiarity, oddity, eccentricity, unpredictability, caprice, foible, whim, whimsy, fancy",
morbid,""" adj. characterized by or appealing to an abnormal and unhealthy interest in disturbing and unpleasant subjects, especially death and disease. """"he had long held a morbid fascination with the horrors of contemporary warfare""""    병적인""",ˈmôrbəd,"ghoulish, macabre, unhealthy, gruesome, unwholesome antonyms: wholesome",wholesome
hem,""" n. the edge of a piece of cloth or clothing that has been turned under and sewn. """"the hem of her dress""""   v. surround and restrict the space or movement of. """"he was hemmed in by the tables""""""",hem,"edge, edging, border, trim, trimming",
claustrophobia,n. an abnormal fear of being in enclosed or narrow places,,,
agoraphobia,"n. an abnormal fear of being in crowds, public places, or open areas, sometimes accompanied by anxiety attacks.",ˌaɡərəˈfōbēə,,
acrophobia,n. a pathological fear of heights,ˌakrəˈfōbēə,,
menagerie,""" n. a collection of wild or unusual animals, especially for exhibition """"Some other specimen in the television menagerie""""""",məˈnajərē,,
slugfest,"n. a tough and challenging contest, especially in sports such as boxing and baseball",ˈsləɡˌfest,,
extradition,""" n. the surrender of an accused or convicted person by one state or country to another (usually under the provisions of a statute or treaty) """"They fought to prevent his extradition to the US""""  """"detainees awaiting extradition""""""",ˌekstrəˈdiSH(ə)n,"deportation, repatriation, expulsion",
detain,""" v. keep (someone) from proceeding; hold back. """"she made to open the door, but he detained her"""" """,dəˈtān,"delay, hold up, make late, keep, slow up/down",
conundrum,""" n. a confusing and difficult problem or question  """"one of the most difficult conundrums for the experts"""" """"the conundrums facing policy-makers""""""",kəˈnəndrəm,"problem, difficult question, difficulty, quandary, dilemma",
perspire,""" v. give out sweat through the pores of the skin as a result of heat, physical exertion, or stress. """"Will was perspiring heavily"""" """,pərˈspī(ə)r,"sweat, be dripping/pouring with sweat, glow, be damp, be wet, break out in a sweat",
lull,""" v. calm or send to sleep, typically with soothing sounds or movements. """"the rhythm of the boat lulled her to sleep"""" """,ləl,"soothe, calm, hush; rock antonyms: waken, agitate","waken, agitate"
takeover,"n. an act of assuming control of something, especially the buying out of one company by another synonyms: buyout, merger, amalgamation",ˈtākˌōvər,,
onset,""" n. the beginning of something, especially something unpleasant. """"the onset of winter"""" """"they foolishly ignored the onset of his aggressive behavior"""" """,ˈônˌset,"start, beginning, commencement, arrival, (first) appearance, inception, emergence, day one, outbreak, dawn, genesis",end
unwittingly,adv. without being aware; unintentionally,ˌənˈwidiNGlē,,
vigilant,""" adj. keeping careful watch for possible danger or difficulties. """"the burglar was spotted by vigilant neighbors"""" """,ˈvijələnt,"watchful, observant, attentive, alert, eagle-eyed, hawk-eyed, on the lookout, on one's toes, on the qui vive antonyms: inattentive",inattentive
clutter,""" v. crowd (something) untidily; fill with clutter. """"his apartment was cluttered with paintings and antiques"""" """"the garden was cluttered with tools""""   n. an untidy state. """"the room was in a clutter of smelly untidiness"""" """"a clutter of toys""""""",ˈklədər,"litter, mess up, disarrange; be strewn, be scattered, mess, jumble, litter, heap, tangle, muddle, hodgepodge",
altercation,""" n. a noisy argument or disagreement, especially in public  """"I had an altercation with the conductor"""" """,ˌôltərˈkāSH(ə)n,"argument, quarrel, squabble, fight, shouting match, disagreement, contretemps, difference of opinion, falling-out, dispute, disputation, clash, fracas, wrangle, blowup, skirmish, run-in, war of words, donnybrook",
quadriplegic,""" adj. affected by or relating to paralysis of all four limbs; tetraplegic. """"quadriplegic patients""""    n. a person affected by paralysis of all four limbs  """"a car accident left him a quadriplegic""""""",ˌkwädrəˈplējik,,
strive,""" v. make great efforts to archieve or obtain something   v. struggle or fight vigorously. """"scholars must strive against bias"""" """,strīv,"try (hard), attempt, endeavor, aim, venture, make an effort, exert oneself, do one's best, do all one can, do one's utmost, labor, work",
manifest,""" adj. clear or obvious to the eye or mind  """"the system's manifest failings"""" """"his manifest lack of interest""""    v. be evidence of; prove. """"bad industrial relations are often manifested in disputes and strikes"""" """"his positive potential is manifested by his art"""" """,ˈmanəˌfest,"obvious, clear, plain, apparent, evident, patent, palpable, distinct, definite, blatant, overt, glaring, barefaced, explicit, transparent, conspicuous, undisguised, unmistakable, noticeable, perceptible, visible, recognizable, be evidence of, be a sign of, indicate, show, attest to, reflect, bespeak, prove, establish, evidence, substantiate, corroborate, confirm","secret, mask"
evasive,""" adj. tending to avoid commitment or self-revelation, especially by responding only indirectly  """"she was evasive about her phone number"""" """,əˈvāsiv,"equivocal, prevaricating, elusive, ambiguous, noncommittal, vague, inexplicit, unclear",
construe,""" v. interpret (a word or action) in a particular way. """"his words could hardly be construed as an apology"""" """"I'm not sure you've properly construed what I just said""""""",kənˈstro͞o,"interpret, understand, read, see, take, take to mean, regard",
attest,""" v. provide or serve as clear evidence of  """"his status is attested by his recent promotion""""  """,əˈtest,"certify, corroborate, confirm, verify, substantiate, authenticate, evidence, demonstrate, show, prove antonyms: disprove",disprove
disdain,"""  n. the feeling that someone or something is unworthy of one's consideration or respect; contempt. """"her upper lip curled in disdain""""     v. consider to be unworthy of one's consideration. """"gamblers disdain four-horse races"""" """,disˈdān,"contempt, scorn, scornfulness, contemptuousness, derision, disrespect antonyms: respect, scorn, deride, pour scorn on, regard with contempt, sneer at, sniff at, curl one's lip at, look down one's nose at, look down on",respect
expedite,""" v. make (an action or process) happen sooner or be accomplished more quickly. """"he promised to expedite economic reforms"""" """,ˈekspəˌdīt,"speed up, accelerate, hurry, hasten, step up, quicken, precipitate, dispatch",
pungent,""" adj. having a sharply strong taste or smell  """"the pungent smell of frying onions""""    adj. (of comment, criticism, or humor) having a sharp and caustic quality. """"pungent remarks"""" """,ˈpənjənt,"strong, powerful, pervasive, penetrating antonyms: bland, mild, caustic, biting, trenchant, cutting, acerbic, sardonic, sarcastic, scathing, acrimonious, barbed, sharp, tart, incisive, bitter, venomous, waspish","bland, mild, bland, mild"
heighten,"""  v. make or become more intense. """"the pleasure was heightened by the sense of guilt that accompanied it"""" """,ˈhītn,"intensify, increase, enhance, add to, augment, boost, strengthen, deepen, magnify, amplify, aggravate, reinforce antonyms: reduce",reduce
peripheral,""" adj. relating to or situated on the edge or periphery of something  """"the peripheral areas of Europe"""" """"the city's peripheral subdivisions""""   adj. of secondary or minor importance; marginal. """"she will see their problems as peripheral to her own"""" """"peripheral issues"""" """,pəˈrif(ə)rəl,"outlying, outer, on the edge/outskirts, surrounding, secondary, subsidiary, incidental, tangential, marginal, minor, unimportant, lesser, inessential, nonessential, immaterial, ancillary",central
artery,n. any of the muscular-walled tubes forming part of the circulation system by which blood is conveyed from the heart to all parts of the body,ˈärdərē,,
euphoric,"adj. characterized by or feeling intense excitement and happiness synonyms: elated, happy, joyful, delighted, gleeful",yo͞oˈfôrik,,
cessation,""" n. the fact or process of ending or being brought to an end. """"the cessation of hostilities"""" """,seˈsāSH(ə)n,"end, ending, termination, stopping, halting, ceasing, finish, finishing, stoppage, closing, closure, close, conclusion, winding up, discontinuation, discontinuance, breaking off, abandonment, interruption, suspension, cutting short",
gravel,n. a loose aggregation of rock fragments,ˈɡravəl,,
recline,""" v. lean or lie back in a relaxed position with the back supported. """"she was reclining in a deck chair"""" """,rəˈklīn,"lie, lie down, lie back, lean back",
torso,""" n. the trunk of the human body  """"a clay figure of his torso""""""",ˈtôrsō,"body, upper body, trunk, chest",
tandem,""" n. a bicycle with seats and pedals for two riders, one behind the other   adj. having two things arranged one in front of the other. """"a tandem trailer""""""",ˈtandəm,,
abdomen,"n. the part of the body of a vertebrate containing the digestive organs; the belly synonyms: stomach, belly, gut, middle, intestines",ˈabdəmən,,
deem,"v. regard or consider in a specified way synonyms: consider, regard as, judge, adjudge, hold to be, view as, see as, take for, class as, count, find, suppose, reckon",dēm,,
loom,""" n. an apparatus for making fabric by weaving yarn or thread    v. appear as a shadowy form, especially one that is large or threatening. """"vehicles loomed out of the darkness"""" """"ghostly shapes loomed out of the fog""""   v. (of an event regarded as ominous or threatening) seem about to happen. """"there is a crisis looming"""" """"without reforms, disaster looms""""""",lo͞om,"emerge, appear, come into view, take shape, materialize, reveal itself, be imminent, be on the horizon, impend, threaten, brew, be just around the corner, be in the air/wind",
snug,""" adj. comfortable, warm, and cozy; well protected from the weather or cold  """"she was safe and snug in Ruth's arms"""" """"our tents were snug"""" """,snug,"cozy, comfortable, warm, welcoming, restful, reassuring, intimate, sheltered, secure","bleak, unwelcoming"
weave,""" v. form by interlacing long threads passing in one direction with others at a right angle to them  """"linen was woven in the district"""" """"flowers were woven into their hair""""""",wēv,"entwine, lace, twist, knit, intertwine, braid, plait, loop",
prostate,n. a compound tubuloalveolar exocrine gland of the male reproductive system in most mammals; a gland surrounding the neck of the bladder in male mammals and releasing prostatic fluid,ˈpräsˌtāt,,
esophagus,n. the part of the alimentary canal that connects the throat to the stomach; the gullet. In humans and other vertebrates it is a muscular tube lined with mucous membrane.,əˈsäfəɡəs,,
intestinal,""" adj. relating to or affecting the intestine. """"the intestinal tract""""  """"he was treated for an intestinal complaint""""""",inˈtestən(ə)l,"enteric, gastroenteric, duodenal, celiac, gastric, ventral, stomach, abdominal",
synergistic,"adj. relating to the interaction or coorperation of two or more organizations, substances, or other agents to produce a combined effect greater than the sum of their separeate effects",ˌsinərˈjistik,,
write-in,n. a vote cast for an unlisted candidate by writing their name on a ballot paper,,,
litigation,""" n. the process of taking legal action. """"the company wishes to avoid litigation"""" """"his attorneys advised him to avoid the litigation that his friends were suggesting""""""",ˌlidəˈɡāSH(ə)n,"legal proceedings, legal action, lawsuit, legal dispute, legal case, case, suit, prosecution, indictment",
urge,""" v. try earnestly or persistently to persuade (someone) to do something. """"he urged her to come and stay with us""""   n. a strong desire or impulse. """"the urge for revenge"""" """,ərj,"desire, wish, need, compulsion, longing, yearning, hankering, craving, appetite, hunger, thirst",
allegation,""" n. a claim or assertion that someone has done something illegal or wrong, typically one made without proof.  """"he made allegations of corruption against the administration"""" """"not one of the allegations against my client has been substantiated""""""",ˌaləˈɡāSH(ə)n,"claim, assertion, charge, accusation, declaration, statement, contention, deposition, argument, affirmation, attestation, grievance",
contemplate,""" v. look thoughtfully for a long time at. """"he sat on the carpet contemplating his image in the mirrors"""" """,ˈkän(t)əmˌplāt,"look at, view, regard, examine, inspect, observe, survey, study, scrutinize, scan, stare at, gaze at, eye",
articulate,""" adj. (of a person or a person's words) having or showing the ability to speak fluently and coherently. """"an articulate account of their experiences""""     v. express (an idea or feeling) fluently and coherently  """"they were unable to articulate their emotions"""" """,ärˈtikyələt,"eloquent, fluent, effective, persuasive, lucid, expressive, silver-tongued antonyms: unintelligible, express, voice, vocalize, put in words, communicate, state",unintelligible
interim,""" n. the intervening time """"in the interim I'll just keep my fingers crossed""""     adj. in or for the intervening period; provisional or temporary """"an interim advisory body"""" """,ˈin(t)ərəm,"meantime, meanwhile, intervening time, provisional, temporary, pro tem, stopgap, short-term, fill-in, caretaker, acting, transitional, makeshift, improvised, impromptu",permanent
entail,""" v. involve (something) as a necessary or inevitable part or consequence  """"a situation that entails considerable risks"""" """,inˈtāl,"involve, necessitate, require, need, demand, call for",
rife,""" adj. (especially of something undesirable or harmful) of common occurrence; widespread  """"male chauvinism was rife in medicine in those days"""" """"violence is rife"""" """,rīf,"widespread, general, common, universal, extensive, ubiquitous, omnipresent, endemic, inescapable, insidious, prevalent","scarce, unknown"
blob,""" n. a drop of a thick liquid or other viscous substance  """"blobs of paint"""" """"a blob of cold gravy""""""",bläb,"drop, droplet, globule, bead, bubble",
gargantuan,"""adj. enormous  """"a gargantuan appetite"""" """,,"huge, enormous, vast, gigantic, very big, giant, massive, colossal, mammoth, immense, mighty, monumental, mountainous, titanic, towering, tremendous, elephantine, king-size(d), economy-size(d), prodigious antonyms: tiny",tiny
subside,""" v. become less intense, violent, or severe. """"I'll wait a few minutes until the storm subsides""""  """,səbˈsīd,"abate, let up, quiet down, calm, slacken (off), ease (up), relent, die down, recede, lessen, soften, diminish, decline, dwindle, weaken, fade, wane, ebb antonyms: intensify",intensify
provocative,""" adj. causing annoyance, anger, or another strong reaction, especially deliberately. """"a provocative article"""" """,prəˈväkədiv,"annoying, irritating, exasperating, infuriating, maddening, vexing, galling antonyms: soothing, calming","soothing, calming"
tug,"""  v. pull (something) hard or suddenly. """"she tugged off her boots"""" """,təɡ,"pull (at), pluck, tweak, twitch, jerk, wrench",
churn,""" n. a machine or container in which butter is made by agitating milk or cream.   v. agitate or turn (milk or cream) in a machine in order to produce butter. """"the cream is ripened before it is churned""""  """"Mae churned the milk""""   v. (of liquid) move about vigorously. """"in high winds most of the lake is churned up"""" """,CHərn,"stir, agitate, beat, whip, whisk, heave, boil, swirl, toss, seethe",
precarious,""" adj. not securely held or in position; dangerously likely to fall or collapse. """"a precarious ladder""""   adj. dependent on chance; uncertain. """"she made a precarious living by writing"""" """,prəˈkerēəs,"uncertain, insecure, unpredictable, risky, parlous, hazardous, dangerous, unsafe antonyms: safe",safe
bedrock,"""n. the fundamental principles on which something is based  """"honesty is the bedrock of a good relationship""""  """"the bedrock of our society""""""",,"core, basis, base, foundation, roots, heart, backbone, principle, essence, nitty-gritty",
hearsay,""" n. information received from other people that one cannot adequately substantiate; rumor. """"according to hearsay, Bob had managed to break his arm"""" """,ˈhirˌsā,"rumor, gossip, tittle-tattle, idle talk",
innuendo,""" n. an allusive or oblique remark or hint, typically a suggestive or disparaging one. """"she's always making sly innuendoes"""" """,ˌinyəˈwendō,"insinuation, suggestion, intimation, implication, hint, overtone, undertone, allusion, reference",
boulevard,"""  n. a wide street in a town or city, typically one lined with trees. """"Sunset Boulevard""""  """"the third right off of the boulevard""""""",ˈbo͝oləˌvärd,"avenue, street, road, drive, thoroughfare, way",
